N_azote,P_phosphore,K_potassium,pH,temperature_C,humidite_pourcentage,precipitations_mm,culture_recommandee
72,46,25,7.3,25.5,51.3,874.8,Maïs
56,32,51,5.7,25.9,80.9,1642.7,Cacao
62,47,43,5.5,24.8,92.0,1784.4,Cacao
73,43,42,5.4,24.5,91.4,1661.2,Cacao
27,55,21,6.0,24.9,44.0,895.3,Soja
64,54,23,6.8,20.6,27.6,583.4,Maïs
83,32,66,5.2,20.8,72.9,1582.8,Café
124,52,40,6.1,27.4,44.7,793.6,Coton
73,30,53,5.6,23.3,87.6,1691.8,Café
50,24,42,5.6,29.8,44.7,987.9,Manioc
43,20,41,6.1,26.1,59.2,1073.1,Manioc
120,46,50,6.6,30.5,50.9,907.5,Coton
133,46,27,6.0,27.4,50.8,927.3,Coton
38,30,25,6.8,27.6,43.3,772.7,Sorgho
47,20,35,6.1,29.2,42.2,852.3,Manioc
36,18,40,6.1,27.8,40.7,938.8,Manioc
115,51,37,6.6,33.0,40.1,780.3,Coton
66,34,46,5.8,23.9,76.7,1545.5,Cacao
61,42,55,6.3,26.7,61.9,1096.8,Igname
121,49,42,6.7,29.9,43.8,761.3,Coton
75,28,51,5.8,21.1,87.5,1687.7,Café
46,24,34,5.6,27.8,52.3,1039.5,Manioc
66,30,60,5.4,23.3,100.0,2309.9,Cacao
82,26,57,5.2,20.1,91.2,1740.7,Café
52,41,46,5.9,26.2,75.3,1355.3,Riz
58,28,40,5.5,30.3,28.7,498.1,Sorgho
31,55,38,6.5,26.7,40.9,765.9,Soja
84,26,57,5.6,19.5,91.3,1793.2,Café
77,47,24,6.2,23.3,38.8,691.4,Maïs
75,36,56,5.6,20.2,98.5,1885.8,Café
72,31,60,5.4,21.6,88.6,1909.0,Café
50,18,36,5.6,27.2,51.7,1001.5,Manioc
58,28,28,6.1,31.5,22.9,568.6,Sorgho
91,48,25,6.9,22.5,33.4,858.6,Maïs
98,52,17,6.7,24.2,39.6,835.0,Maïs
66,44,34,5.8,22.8,100.0,2238.1,Cacao
78,56,20,7.0,23.8,28.7,741.1,Maïs
76,51,26,5.3,24.0,30.2,753.3,Maïs
51,22,35,5.7,28.7,54.6,1011.3,Manioc
71,25,48,5.5,21.3,98.4,2052.8,Café
75,48,34,6.5,27.9,92.5,1806.8,Riz
27,63,32,7.2,24.5,43.5,894.8,Soja
32,55,30,6.9,25.1,44.9,1006.5,Soja
96,30,70,5.7,20.9,79.0,1627.4,Café
70,46,44,6.4,28.4,52.2,1068.7,Igname
40,55,34,6.6,27.8,57.7,961.9,Soja
49,20,30,5.7,30.0,47.7,839.4,Manioc
34,57,27,6.4,28.1,34.1,795.3,Soja
62,43,34,6.2,25.2,87.9,1887.2,Cacao
54,35,49,6.4,27.8,66.3,1412.8,Igname
74,33,48,5.8,22.5,92.4,1664.5,Café
126,51,39,6.2,32.3,48.1,1044.4,Coton
37,30,24,8.1,27.4,25.4,593.3,Sorgho
26,63,34,6.7,21.0,42.3,672.1,Soja
63,48,43,6.7,31.7,57.3,1249.0,Riz
62,42,36,6.0,24.8,100.0,2081.0,Cacao
47,32,35,5.3,33.1,32.0,498.2,Sorgho
71,42,40,5.6,31.1,82.8,1719.0,Riz
121,47,41,6.0,31.1,35.2,886.5,Coton
57,43,34,5.4,23.1,100.0,1836.9,Cacao
55,48,46,6.4,24.6,100.0,2091.9,Cacao
63,22,45,5.1,25.9,58.8,998.1,Manioc
73,40,55,6.1,27.8,57.4,1242.5,Igname
48,17,42,6.2,31.8,61.1,1033.8,Manioc
28,45,23,7.1,21.1,45.5,819.6,Soja
69,35,50,6.1,27.7,67.5,1282.9,Igname
57,57,39,5.2,29.3,77.6,1622.8,Riz
126,52,36,5.7,31.3,46.3,769.7,Coton
75,49,42,5.7,28.0,89.1,1831.4,Riz
73,32,66,5.5,22.9,65.2,1458.4,Café
36,27,44,5.9,29.5,40.7,938.1,Manioc
75,27,44,5.5,25.6,100.0,2244.2,Cacao
47,30,29,6.8,36.5,28.8,537.0,Sorgho
24,57,30,7.1,22.8,38.3,855.8,Soja
31,70,24,6.3,25.2,45.2,893.6,Soja
33,53,30,6.8,21.0,36.4,539.8,Soja
26,62,31,6.6,23.7,34.5,744.9,Soja
97,45,38,6.7,30.3,76.6,1368.7,Riz
36,67,31,6.3,22.2,47.5,843.9,Soja
38,27,29,6.8,30.0,36.8,583.3,Sorgho
37,31,33,7.4,34.3,35.0,548.8,Sorgho
50,26,31,7.4,31.2,35.1,520.1,Sorgho
139,51,52,6.6,27.3,39.9,810.2,Coton
41,21,40,5.8,30.4,42.1,941.6,Manioc
49,24,28,6.9,29.6,32.4,634.9,Sorgho
51,41,42,5.7,26.8,54.7,1229.8,Igname
117,49,37,5.9,31.3,35.5,868.7,Coton
81,30,43,5.6,22.7,84.5,1878.1,Café
117,56,42,6.1,32.9,49.4,1124.9,Coton
82,43,22,6.8,22.3,27.3,585.8,Maïs
79,43,24,6.2,21.8,44.6,714.5,Maïs
80,29,58,5.2,22.2,72.8,1630.1,Café
89,27,56,5.5,22.2,87.7,1748.0,Café
117,52,36,5.9,29.0,55.5,1127.1,Coton
75,44,42,5.7,26.0,100.0,2192.1,Cacao
66,39,46,6.1,29.3,49.2,1156.6,Igname
28,60,19,7.1,27.1,52.6,946.8,Soja
79,35,66,5.2,22.9,83.2,1785.8,Café
38,23,31,5.5,26.3,59.3,1006.1,Manioc
85,42,38,5.2,31.1,64.8,1424.4,Riz
58,38,54,5.5,20.4,77.8,1672.5,Café
57,12,40,5.4,26.2,53.8,1001.8,Manioc
73,31,54,5.3,22.4,90.0,1884.9,Café
71,39,36,5.6,23.7,98.6,2147.6,Cacao
76,48,41,5.7,20.6,45.8,917.4,Riz
27,64,32,6.6,24.2,31.9,790.9,Soja
32,30,28,6.3,27.0,33.5,667.1,Sorgho
107,44,38,5.9,29.9,46.4,750.3,Coton
74,21,35,5.6,20.2,94.3,1726.9,Café
83,48,22,6.2,21.2,38.6,673.1,Maïs
42,28,32,6.8,26.5,42.0,770.3,Sorgho
117,48,36,6.2,30.4,44.1,683.1,Coton
77,40,20,6.1,22.3,55.4,942.1,Maïs
74,48,31,5.5,26.0,67.2,1513.2,Riz
50,35,40,5.9,35.5,59.5,1122.2,Riz
37,52,29,6.7,25.4,34.5,822.6,Soja
114,43,44,6.1,30.3,20.0,571.9,Coton
55,42,50,5.6,28.5,62.5,1249.2,Igname
70,47,53,5.8,29.1,68.9,1245.4,Igname
58,38,53,5.7,25.9,100.0,2141.3,Cacao
65,45,40,5.7,23.3,100.0,2475.2,Cacao
61,21,32,5.7,27.2,59.3,1082.7,Manioc
72,42,47,5.5,24.7,100.0,2067.6,Cacao
73,50,41,6.2,28.6,91.2,1649.3,Riz
43,29,34,5.7,26.0,35.4,620.8,Sorgho
67,50,23,7.0,25.3,34.9,522.4,Maïs
42,20,40,5.3,27.9,38.6,777.2,Manioc
44,20,37,7.2,29.7,23.9,560.4,Sorgho
59,46,46,5.7,25.6,72.7,1493.6,Riz
43,23,30,5.3,30.5,56.1,1225.3,Manioc
76,33,50,6.0,18.7,76.3,1609.2,Café
91,25,58,5.5,20.2,81.2,1431.9,Café
50,41,47,5.8,25.9,91.7,1956.9,Cacao
27,43,33,7.2,27.9,36.5,722.9,Soja
76,48,25,7.0,30.2,50.8,983.2,Maïs
64,36,47,5.7,25.8,91.1,1648.9,Cacao
110,51,36,6.5,33.0,36.7,925.2,Coton
56,24,32,5.9,27.8,56.4,964.6,Manioc
79,48,37,5.8,34.7,72.9,1531.0,Riz
129,50,41,6.2,33.6,53.8,910.2,Coton
57,52,46,5.9,24.5,100.0,2233.3,Cacao
69,38,51,6.2,27.6,59.8,1222.4,Igname
41,21,33,5.7,28.5,44.1,988.4,Manioc
50,33,24,5.8,32.4,33.1,631.3,Sorgho
70,34,41,5.6,25.8,58.7,1296.9,Cacao
43,36,20,7.6,25.3,37.3,640.9,Sorgho
68,44,43,5.8,22.8,100.0,2006.3,Cacao
31,59,35,7.1,30.5,40.0,786.2,Soja
34,57,32,6.9,27.2,38.5,685.1,Soja
32,53,24,6.4,23.4,38.1,741.2,Soja
80,40,18,7.0,26.0,37.1,809.3,Maïs
37,53,36,7.1,26.9,38.8,883.2,Soja
89,41,26,6.1,30.2,51.1,989.2,Maïs
44,25,24,6.2,28.2,35.9,594.2,Sorgho
38,24,38,5.4,26.0,41.2,853.9,Manioc
26,65,23,7.2,23.3,30.9,782.4,Soja
57,39,43,5.7,25.1,96.5,2082.3,Cacao
51,26,46,6.1,29.8,47.5,1030.2,Manioc
66,46,55,6.1,27.5,57.0,988.0,Igname
72,42,44,6.0,30.2,70.1,1479.8,Igname
55,50,34,6.0,34.2,79.4,1617.8,Riz
49,29,29,7.1,29.0,20.8,538.2,Sorgho
90,58,25,7.1,26.4,36.5,704.1,Maïs
77,37,38,5.7,22.6,100.0,2146.5,Cacao
34,56,26,6.2,25.2,25.6,643.2,Soja
74,43,47,6.0,21.9,76.9,1518.7,Cacao
88,47,17,6.7,26.7,33.6,606.7,Maïs
40,16,41,5.6,27.3,50.7,1108.2,Manioc
78,49,23,6.6,29.8,30.5,657.8,Maïs
30,56,21,6.9,24.1,27.4,689.8,Soja
73,43,42,6.3,27.0,100.0,2348.7,Cacao
47,36,52,5.8,28.1,60.6,1113.7,Igname
36,24,42,5.5,28.5,44.9,943.0,Manioc
62,63,35,6.3,24.2,78.1,1679.5,Riz
79,27,46,5.8,22.6,87.7,1647.8,Café
63,41,44,5.9,29.2,96.9,1892.1,Riz
69,38,37,6.2,27.0,63.3,1454.4,Riz
22,40,37,6.9,22.9,28.8,762.0,Soja
71,31,55,5.3,23.3,78.3,1758.2,Café
66,41,52,6.0,23.9,91.4,1973.8,Cacao
135,55,41,6.0,26.7,32.5,774.3,Coton
34,30,34,7.8,31.1,30.4,710.0,Sorgho
130,49,37,6.0,28.4,43.5,898.8,Coton
62,42,42,5.8,24.7,100.0,2258.1,Cacao
109,52,51,6.3,33.2,35.2,806.6,Coton
88,49,43,5.8,25.7,80.1,1729.6,Riz
68,44,42,5.6,28.2,65.0,1283.7,Igname
44,25,39,5.9,30.7,39.8,870.3,Manioc
28,61,26,6.8,30.2,49.0,835.9,Soja
58,36,41,6.0,25.3,100.0,1949.6,Cacao
82,46,21,6.0,24.2,28.9,676.6,Maïs
62,33,46,6.1,26.0,52.5,1201.5,Igname
61,51,45,6.5,29.1,90.2,1677.3,Riz
60,42,44,5.7,23.9,85.9,1831.6,Cacao
51,39,37,5.5,26.6,100.0,2084.5,Cacao
79,43,26,6.4,29.2,26.6,611.2,Maïs
132,53,39,7.0,31.4,37.5,801.7,Coton
66,46,28,6.1,24.4,40.6,678.3,Maïs
43,44,55,6.0,25.8,69.2,1261.7,Igname
77,51,48,5.5,30.1,84.0,1550.4,Riz
42,32,30,6.5,30.9,40.4,732.9,Sorgho
73,32,54,5.7,20.1,94.6,1797.4,Café
48,17,39,5.4,28.2,47.6,1044.0,Manioc
41,26,27,6.8,29.6,24.2,659.1,Sorgho
68,40,39,6.3,22.6,78.3,1709.3,Riz
101,54,38,6.6,30.8,58.3,1129.9,Coton
63,40,50,6.4,26.7,61.9,1172.6,Igname
53,27,62,5.3,24.8,91.9,1722.2,Café
70,48,51,5.5,21.3,87.9,1707.5,Café
60,34,38,6.1,29.0,61.5,1221.3,Igname
70,44,42,6.3,27.9,68.8,1564.5,Riz
59,51,48,6.8,29.2,68.4,1504.0,Riz
41,39,39,6.3,30.5,24.2,491.1,Sorgho
40,22,31,6.1,29.3,34.6,581.1,Sorgho
47,21,44,5.7,31.0,43.6,1016.6,Manioc
70,42,46,5.7,27.3,79.6,1676.3,Riz
105,45,40,6.5,33.6,51.9,886.9,Coton
82,50,37,6.0,22.5,71.5,1407.3,Riz
51,28,35,7.0,29.7,36.1,897.2,Sorgho
74,43,25,6.1,25.2,46.0,801.3,Maïs
42,31,36,6.2,24.5,38.9,580.1,Sorgho
119,55,41,6.3,28.5,43.3,824.0,Coton
35,30,26,7.1,24.7,31.2,501.7,Sorgho
76,38,60,5.4,21.6,90.2,1728.2,Café
70,45,40,6.0,28.8,100.0,2134.5,Riz
90,49,23,6.3,24.1,39.4,738.3,Maïs
87,45,15,5.8,23.5,34.8,657.4,Maïs
52,44,41,6.2,26.2,62.7,1163.6,Igname
58,43,42,6.1,27.6,83.9,1664.5,Riz
108,48,40,6.6,28.4,40.6,760.2,Coton
124,54,43,5.8,35.3,52.4,1063.5,Coton
32,55,30,6.5,25.0,50.9,821.7,Soja
83,38,25,6.5,25.9,36.0,734.7,Maïs
68,39,42,5.7,25.9,46.6,1070.8,Igname
88,37,41,5.9,22.4,63.2,1274.5,Riz
51,20,34,5.6,29.1,47.6,982.1,Manioc
43,25,41,4.6,27.6,58.1,1082.9,Manioc
77,46,48,5.7,28.0,68.7,1355.9,Igname
82,40,47,5.5,20.4,73.1,1648.4,Café
53,20,32,6.6,32.6,38.4,679.2,Sorgho
60,32,29,5.6,25.7,100.0,2065.8,Cacao
127,49,36,6.3,30.2,49.3,800.4,Coton
120,49,40,6.6,31.3,50.4,969.2,Coton
29,55,36,6.7,27.2,32.2,819.6,Soja
36,28,32,6.9,28.1,37.7,553.6,Sorgho
42,22,38,6.2,26.6,36.3,834.2,Manioc
128,63,39,6.3,29.7,46.3,1004.6,Coton
68,38,49,6.7,25.2,92.9,1958.2,Cacao
67,38,45,5.2,25.9,100.0,2129.2,Cacao
81,28,47,5.7,23.5,87.9,1759.2,Café
69,45,52,6.4,29.0,46.5,1010.0,Igname
56,62,41,6.3,26.1,97.2,1831.4,Riz
73,41,46,6.2,27.0,57.8,1127.5,Igname
49,40,51,5.9,26.9,69.9,1229.9,Igname
24,59,26,7.2,23.8,59.4,1074.4,Soja
62,28,17,6.5,34.9,22.6,634.7,Sorgho
102,40,45,5.6,30.2,32.9,725.5,Coton
80,35,43,5.7,23.6,100.0,2088.8,Café
42,22,32,6.0,30.2,43.0,920.1,Manioc
53,37,39,5.9,27.6,54.3,1020.9,Igname
66,34,46,5.8,26.6,50.3,1177.6,Igname
73,53,26,6.8,22.0,20.9,617.6,Maïs
40,27,25,6.7,26.1,32.2,496.8,Sorgho
36,71,26,6.8,25.5,35.3,841.1,Soja
44,24,31,7.3,28.4,40.2,742.8,Sorgho
57,31,26,6.3,30.8,21.2,525.0,Sorgho
75,41,48,5.8,25.2,100.0,2144.6,Cacao
25,46,20,6.0,26.4,39.2,767.1,Soja
21,15,37,6.1,31.5,61.5,1086.3,Manioc
121,52,49,6.6,32.7,48.8,1094.9,Coton
80,23,57,5.8,22.3,96.0,1788.9,Café
81,56,32,6.5,24.4,94.8,1815.8,Riz
58,34,48,5.6,26.1,80.4,1802.2,Café
76,33,49,5.3,21.7,73.2,1617.6,Café
42,23,33,5.9,30.3,58.1,1142.6,Manioc
53,43,57,5.7,28.8,69.1,1257.5,Igname
69,36,49,6.2,27.5,62.2,1163.9,Igname
72,38,41,6.8,26.3,91.5,1844.4,Cacao
69,33,67,5.1,20.4,86.5,1592.5,Café
25,63,33,6.5,28.0,41.2,700.5,Soja
44,36,37,7.0,29.5,30.4,689.7,Sorgho
53,50,38,5.4,32.7,56.9,1067.4,Riz
30,24,49,5.7,27.4,43.2,931.8,Manioc
25,51,31,6.4,22.8,30.6,630.5,Soja
140,42,49,6.8,27.4,45.3,870.1,Coton
43,23,33,6.7,32.3,25.6,645.0,Sorgho
67,42,29,6.2,22.7,100.0,2032.2,Cacao
57,43,32,5.5,23.8,90.0,1627.6,Cacao
29,43,32,7.1,23.4,39.9,870.8,Soja
72,29,55,5.4,24.0,80.6,1664.2,Café
37,36,44,7.2,29.6,41.0,715.7,Sorgho
30,49,28,5.8,26.0,49.2,792.0,Soja
68,40,42,6.2,28.2,57.5,1207.5,Riz
66,26,48,5.6,22.9,89.2,1689.1,Café
38,19,33,5.4,30.4,39.0,890.5,Manioc
68,50,40,5.7,28.9,82.4,1662.2,Riz
62,42,40,5.3,27.7,64.0,1462.2,Riz
25,54,37,6.4,23.2,44.9,848.5,Soja
36,23,42,5.6,28.4,51.1,918.4,Manioc
70,39,52,6.5,25.0,86.3,1719.8,Cacao
44,25,29,7.3,32.1,23.8,587.1,Sorgho
60,40,52,5.9,27.3,68.0,1233.4,Igname
78,36,34,6.0,29.3,69.5,1273.6,Riz
47,25,25,7.1,28.2,25.1,543.6,Sorgho
59,36,47,6.1,27.1,65.6,1335.7,Igname
35,51,35,6.5,29.2,47.5,777.8,Soja
117,48,39,6.8,27.4,37.2,652.1,Coton
71,48,33,7.3,27.9,74.7,1615.3,Riz
138,51,49,6.5,27.5,47.5,1128.8,Coton
97,51,26,6.4,21.1,38.9,598.8,Maïs
59,40,45,5.5,24.1,83.3,1609.8,Riz
79,34,71,5.6,22.8,91.9,1665.1,Café
61,45,42,6.4,28.3,56.8,1242.8,Riz
43,32,28,6.9,31.0,20.0,434.3,Sorgho
60,36,32,6.0,28.4,32.5,673.2,Sorgho
94,37,24,6.6,25.1,36.9,766.4,Maïs
40,23,39,5.6,27.6,53.1,1185.2,Manioc
40,21,48,5.0,28.1,49.2,1047.5,Manioc
76,38,41,6.1,29.6,51.9,1167.9,Riz
73,33,61,5.4,21.7,92.0,1714.1,Café
142,41,34,6.3,29.9,38.9,888.2,Coton
81,45,37,5.8,23.8,95.9,1806.6,Riz
69,52,29,6.9,25.7,28.9,739.9,Maïs
88,43,38,6.2,28.5,56.9,1174.2,Riz
56,36,30,5.5,23.9,89.2,1675.5,Cacao
76,49,37,6.9,26.5,60.0,1055.4,Riz
76,31,54,5.7,19.2,86.2,1743.8,Café
57,41,54,5.3,27.6,94.2,1744.3,Cacao
75,47,31,6.2,24.0,42.2,866.5,Maïs
63,50,23,6.2,23.8,36.9,727.4,Maïs
68,56,44,6.7,22.2,64.0,1450.1,Riz
35,44,26,6.4,28.4,44.8,734.9,Soja
73,36,49,5.5,27.2,99.5,1963.0,Cacao
121,47,39,6.7,29.4,50.2,890.9,Coton
50,33,28,6.5,27.4,34.6,579.0,Sorgho
27,47,33,6.7,20.7,36.0,895.0,Soja
73,48,24,6.9,24.6,46.4,803.6,Maïs
65,30,64,5.3,20.4,68.8,1527.0,Café
60,47,53,5.4,26.4,100.0,2643.2,Cacao
75,46,24,7.5,25.4,49.2,817.0,Maïs
33,59,26,6.7,26.3,34.9,784.3,Soja
78,36,45,5.7,23.7,80.3,1615.8,Cacao
68,40,34,6.2,27.1,81.6,1769.3,Riz
79,38,24,6.5,25.0,54.4,1012.3,Maïs
34,26,44,4.9,30.8,41.8,890.3,Manioc
56,39,50,6.3,29.6,69.5,1244.7,Igname
74,59,20,5.6,25.9,30.4,678.8,Maïs
86,49,17,6.3,17.5,50.3,868.5,Maïs
38,22,40,5.4,31.2,54.6,1021.3,Manioc
86,31,41,5.6,21.6,86.7,1720.1,Café
81,52,26,7.4,22.7,38.9,757.9,Maïs
23,54,29,7.0,20.2,42.9,722.5,Soja
123,45,36,6.3,30.6,54.4,1074.4,Coton
62,50,49,5.9,26.8,73.2,1335.6,Igname
69,37,57,5.8,18.3,84.8,1731.4,Café
55,16,39,5.3,33.0,43.3,1037.3,Manioc
68,43,51,6.1,25.6,90.7,1923.6,Cacao
120,48,27,6.0,31.5,28.3,683.7,Coton
78,55,38,6.5,25.2,62.1,1126.9,Riz
51,26,34,5.8,28.1,25.3,655.7,Sorgho
61,23,64,5.4,24.6,95.3,1753.7,Café
63,29,43,5.8,21.3,97.4,1762.6,Café
29,66,38,7.4,25.8,37.6,641.1,Soja
139,52,38,6.2,27.8,43.7,939.5,Coton
75,34,63,6.0,24.1,84.1,1757.9,Café
94,50,21,7.0,25.6,22.0,490.5,Maïs
59,58,47,5.6,29.9,98.2,2112.1,Riz
99,49,34,5.8,26.8,39.3,880.2,Coton
42,26,37,5.8,31.2,52.4,1038.6,Manioc
27,57,36,6.6,23.7,37.7,918.1,Soja
78,49,21,7.1,25.7,34.1,598.0,Maïs
129,55,43,5.9,29.3,42.4,983.1,Coton
51,16,37,6.0,26.2,29.6,769.8,Manioc
56,34,53,6.2,26.7,100.0,2156.3,Cacao
74,35,49,5.3,23.3,73.6,1608.4,Café
75,52,25,6.1,21.8,20.5,568.5,Maïs
108,48,43,6.5,28.5,57.0,963.9,Coton
48,27,25,6.7,31.7,40.8,659.5,Sorgho
32,54,32,7.6,23.7,40.2,738.9,Soja
140,47,41,5.7,23.6,45.9,1014.8,Coton
43,33,34,6.1,25.4,35.1,580.8,Sorgho
35,50,37,6.8,23.9,22.4,588.5,Soja
87,35,47,5.9,23.6,79.8,1790.8,Café
74,50,24,6.7,22.6,34.0,691.4,Maïs
63,37,36,5.4,24.2,97.6,1917.2,Cacao
62,45,38,5.9,33.4,75.8,1519.9,Riz
46,23,44,6.1,31.0,59.3,1016.6,Manioc
78,36,53,5.3,23.5,66.8,1494.4,Café
45,33,34,5.4,27.7,25.4,469.0,Sorgho
61,45,46,5.5,25.4,100.0,2229.0,Cacao
76,34,52,6.1,28.7,64.3,1171.1,Igname
67,39,21,6.5,23.5,33.2,590.2,Maïs
75,42,20,6.3,26.0,43.2,1002.1,Maïs
65,46,45,5.0,27.8,74.9,1587.9,Riz
34,41,31,7.3,34.1,31.9,501.6,Sorgho
43,27,42,6.1,26.6,47.0,978.3,Manioc
61,36,39,6.2,23.4,96.7,1766.1,Cacao
69,57,23,7.0,26.7,36.0,834.2,Maïs
57,52,22,6.5,22.5,33.8,866.0,Maïs
68,50,37,6.9,30.0,76.8,1652.3,Riz
69,35,36,5.8,22.3,71.5,1624.9,Riz
44,41,49,6.2,28.4,76.2,1430.4,Igname
119,53,32,6.1,29.0,63.1,1135.2,Coton
57,38,54,6.2,25.1,65.5,1269.2,Igname
21,64,40,6.5,26.6,37.1,767.0,Soja
86,31,73,5.3,23.7,99.7,2059.1,Café
73,31,68,6.0,19.9,99.3,1886.0,Café
