date,culture,mois,prix_fcfa_kg,demande_estimee_kg
2024-02-02,Café,2,1395,927
2024-02-03,Maïs,2,226,960
2024-02-03,Riz,2,459,947
2024-02-03,Sorgho,2,294,528
2024-02-03,Igname,2,340,663
2024-02-03,Manioc,2,164,979
2024-02-03,Soja,2,409,627
2024-02-03,Coton,2,601,723
2024-02-03,Cacao,2,1692,1009
2024-02-03,Café,2,1325,764
2024-02-04,Maïs,2,242,817
2024-02-04,Riz,2,452,847
2024-02-04,Sorgho,2,291,780
2024-02-04,Igname,2,321,1091
2024-02-04,Manioc,2,174,900
2024-02-04,Soja,2,395,752
2024-02-04,Coton,2,595,947
2024-02-04,Cacao,2,1828,857
2024-02-04,Café,2,1205,1053
2024-02-05,Maïs,2,243,671
2024-02-05,Riz,2,422,954
2024-02-05,Sorgho,2,280,934
2024-02-05,Igname,2,335,1050
2024-02-05,Manioc,2,171,1048
2024-02-05,Soja,2,413,992
2024-02-05,Coton,2,572,854
2024-02-05,Cacao,2,1627,896
2024-02-05,Café,2,1391,897
2024-02-06,Maïs,2,219,861
2024-02-06,Riz,2,463,755
2024-02-06,Sorgho,2,286,812
2024-02-06,Igname,2,325,962
2024-02-06,Manioc,2,165,1166
2024-02-06,Soja,2,406,1044
2024-02-06,Coton,2,530,855
2024-02-06,Cacao,2,1718,952
2024-02-06,Café,2,1286,931
2024-02-07,Maïs,2,218,892
2024-02-07,Riz,2,453,856
2024-02-07,Sorgho,2,283,850
2024-02-07,Igname,2,354,965
2024-02-07,Manioc,2,158,840
2024-02-07,Soja,2,393,965
2024-02-07,Coton,2,569,901
2024-02-07,Cacao,2,1706,974
2024-02-07,Café,2,1347,836
2024-02-08,Maïs,2,239,907
2024-02-08,Riz,2,467,751
2024-02-08,Sorgho,2,296,856
2024-02-08,Igname,2,364,1000
2024-02-08,Manioc,2,157,949
2024-02-08,Soja,2,382,738
2024-02-08,Coton,2,546,829
2024-02-08,Cacao,2,1766,673
2024-02-08,Café,2,1374,891
2024-02-09,Maïs,2,225,1033
2024-02-09,Riz,2,462,1057
2024-02-09,Sorgho,2,278,966
2024-02-09,Igname,2,422,532
2024-02-09,Manioc,2,162,908
2024-02-09,Soja,2,401,837
2024-02-09,Coton,2,563,775
2024-02-09,Cacao,2,1660,962
2024-02-09,Café,2,1357,804
2024-02-10,Maïs,2,224,794
2024-02-10,Riz,2,439,913
2024-02-10,Sorgho,2,266,1018
2024-02-10,Igname,2,338,857
2024-02-10,Manioc,2,175,702
2024-02-10,Soja,2,387,923
2024-02-10,Coton,2,558,879
2024-02-10,Cacao,2,1791,933
2024-02-10,Café,2,1469,677
2024-02-11,Maïs,2,207,1085
2024-02-11,Riz,2,454,981
2024-02-11,Sorgho,2,306,778
2024-02-11,Igname,2,332,824
2024-02-11,Manioc,2,168,758
2024-02-11,Soja,2,390,966
2024-02-11,Coton,2,562,674
2024-02-11,Cacao,2,1792,801
2024-02-11,Café,2,1337,837
2024-02-12,Maïs,2,223,857
2024-02-12,Riz,2,423,834
2024-02-12,Sorgho,2,277,919
2024-02-12,Igname,2,336,752
2024-02-12,Manioc,2,178,925
2024-02-12,Soja,2,387,893
2024-02-12,Coton,2,538,870
2024-02-12,Cacao,2,1730,965
2024-02-12,Café,2,1255,1008
2024-02-13,Maïs,2,221,810
2024-02-13,Riz,2,459,764
2024-02-13,Sorgho,2,271,1187
2024-02-13,Igname,2,372,863
2024-02-13,Manioc,2,174,857
2024-02-13,Soja,2,380,852
2024-02-13,Coton,2,575,959
2024-02-13,Cacao,2,1736,788
2024-02-13,Café,2,1429,885
2024-02-14,Maïs,2,223,916
2024-02-14,Riz,2,445,896
2024-02-14,Sorgho,2,291,810
2024-02-14,Igname,2,331,706
2024-02-14,Manioc,2,179,919
2024-02-14,Soja,2,390,694
2024-02-14,Coton,2,571,850
2024-02-14,Cacao,2,1750,843
2024-02-14,Café,2,1330,940
2024-02-15,Maïs,2,227,998
2024-02-15,Riz,2,460,892
2024-02-15,Sorgho,2,265,890
2024-02-15,Igname,2,328,897
2024-02-15,Manioc,2,181,781
2024-02-15,Soja,2,374,711
2024-02-15,Coton,2,568,929
2024-02-15,Cacao,2,1686,805
2024-02-15,Café,2,1320,881
2024-02-16,Maïs,2,224,864
2024-02-16,Riz,2,448,1064
2024-02-16,Sorgho,2,300,837
2024-02-16,Igname,2,356,879
2024-02-16,Manioc,2,172,918
2024-02-16,Soja,2,416,978
2024-02-16,Coton,2,575,936
2024-02-16,Cacao,2,1654,859
2024-02-16,Café,2,1361,807
2024-02-17,Maïs,2,213,1027
2024-02-17,Riz,2,462,845
2024-02-17,Sorgho,2,279,790
2024-02-17,Igname,2,360,668
2024-02-17,Manioc,2,176,773
2024-02-17,Soja,2,420,909
2024-02-17,Coton,2,560,679
2024-02-17,Cacao,2,1641,805
2024-02-17,Café,2,1385,944
2024-02-18,Maïs,2,220,851
2024-02-18,Riz,2,438,906
2024-02-18,Sorgho,2,271,999
2024-02-18,Igname,2,350,979
2024-02-18,Manioc,2,169,1009
2024-02-18,Soja,2,447,622
2024-02-18,Coton,2,580,1056
2024-02-18,Cacao,2,1979,851
2024-02-18,Café,2,1262,918
2024-02-19,Maïs,2,227,997
2024-02-19,Riz,2,417,1160
2024-02-19,Sorgho,2,280,824
2024-02-19,Igname,2,325,1050
2024-02-19,Manioc,2,176,861
2024-02-19,Soja,2,400,892
2024-02-19,Coton,2,531,944
2024-02-19,Cacao,2,1697,800
2024-02-19,Café,2,1276,1000
2024-02-20,Maïs,2,222,815
2024-02-20,Riz,2,431,884
2024-02-20,Sorgho,2,252,1231
2024-02-20,Igname,2,348,911
2024-02-20,Manioc,2,176,773
2024-02-20,Soja,2,441,812
2024-02-20,Coton,2,566,892
2024-02-20,Cacao,2,1766,763
2024-02-20,Café,2,1274,1004
2024-02-21,Maïs,2,221,908
2024-02-21,Riz,2,456,927
2024-02-21,Sorgho,2,275,950
2024-02-21,Igname,2,348,848
2024-02-21,Manioc,2,176,807
2024-02-21,Soja,2,367,758
2024-02-21,Coton,2,567,828
2024-02-21,Cacao,2,1772,1052
2024-02-21,Café,2,1353,910
2024-02-22,Maïs,2,206,884
2024-02-22,Riz,2,457,865
2024-02-22,Sorgho,2,293,810
2024-02-22,Igname,2,339,948
2024-02-22,Manioc,2,169,1052
2024-02-22,Soja,2,409,927
2024-02-22,Coton,2,594,694
2024-02-22,Cacao,2,1705,884
2024-02-22,Café,2,1407,1035
2024-02-23,Maïs,2,230,925
2024-02-23,Riz,2,470,881
2024-02-23,Sorgho,2,318,603
2024-02-23,Igname,2,329,926
2024-02-23,Manioc,2,168,1026
2024-02-23,Soja,2,395,900
2024-02-23,Coton,2,569,778
2024-02-23,Cacao,2,1767,832
2024-02-23,Café,2,1492,867
2024-02-24,Maïs,2,233,640
2024-02-24,Riz,2,469,792
2024-02-24,Sorgho,2,284,895
2024-02-24,Igname,2,317,1020
2024-02-24,Manioc,2,173,917
2024-02-24,Soja,2,404,887
2024-02-24,Coton,2,575,997
2024-02-24,Cacao,2,1726,1010
2024-02-24,Café,2,1401,956
2024-02-25,Maïs,2,251,961
2024-02-25,Riz,2,423,910
2024-02-25,Sorgho,2,289,749
2024-02-25,Igname,2,323,1083
2024-02-25,Manioc,2,175,863
2024-02-25,Soja,2,413,855
2024-02-25,Coton,2,542,986
2024-02-25,Cacao,2,1663,820
2024-02-25,Café,2,1437,652
2024-02-26,Maïs,2,221,712
2024-02-26,Riz,2,460,931
2024-02-26,Sorgho,2,281,639
2024-02-26,Igname,2,349,1000
2024-02-26,Manioc,2,176,817
2024-02-26,Soja,2,416,793
2024-02-26,Coton,2,563,811
2024-02-26,Cacao,2,1734,762
2024-02-26,Café,2,1351,873
2024-02-27,Maïs,2,233,835
2024-02-27,Riz,2,465,842
2024-02-27,Sorgho,2,327,681
2024-02-27,Igname,2,340,874
2024-02-27,Manioc,2,168,877
2024-02-27,Soja,2,401,648
2024-02-27,Coton,2,532,1014
2024-02-27,Cacao,2,1723,748
2024-02-27,Café,2,1350,1096
2024-02-28,Maïs,2,234,841
2024-02-28,Riz,2,440,968
2024-02-28,Sorgho,2,305,651
2024-02-28,Igname,2,345,804
2024-02-28,Manioc,2,161,1108
2024-02-28,Soja,2,388,1057
2024-02-28,Coton,2,543,938
2024-02-28,Cacao,2,1769,897
2024-02-28,Café,2,1304,1023
2024-02-29,Maïs,2,236,809
2024-02-29,Riz,2,458,888
2024-02-29,Sorgho,2,289,960
2024-02-29,Igname,2,333,813
2024-02-29,Manioc,2,181,762
2024-02-29,Soja,2,417,896
2024-02-29,Coton,2,567,796
2024-02-29,Cacao,2,1700,908
2024-02-29,Café,2,1309,952
2024-03-01,Maïs,3,229,1006
2024-03-01,Riz,3,443,704
2024-03-01,Sorgho,3,307,836
2024-03-01,Igname,3,349,807
2024-03-01,Manioc,3,178,821
2024-03-01,Soja,3,386,986
2024-03-01,Coton,3,550,861
2024-03-01,Cacao,3,1723,904
2024-03-01,Café,3,1328,997
2024-03-02,Maïs,3,226,997
2024-03-02,Riz,3,493,738
2024-03-02,Sorgho,3,270,697
2024-03-02,Igname,3,335,952
2024-03-02,Manioc,3,171,910
2024-03-02,Soja,3,378,788
2024-03-02,Coton,3,567,1072
2024-03-02,Cacao,3,1705,908
2024-03-02,Café,3,1452,877
2024-03-03,Maïs,3,237,751
2024-03-03,Riz,3,463,731
2024-03-03,Sorgho,3,289,802
2024-03-03,Igname,3,358,811
2024-03-03,Manioc,3,184,660
2024-03-03,Soja,3,393,904
2024-03-03,Coton,3,561,1003
2024-03-03,Cacao,3,1725,1007
2024-03-03,Café,3,1530,985
2024-03-04,Maïs,3,215,929
2024-03-04,Riz,3,435,878
2024-03-04,Sorgho,3,271,1049
2024-03-04,Igname,3,333,1115
2024-03-04,Manioc,3,167,1137
2024-03-04,Soja,3,444,979
2024-03-04,Coton,3,550,989
2024-03-04,Cacao,3,1798,798
2024-03-04,Café,3,1365,954
2024-03-05,Maïs,3,217,1026
2024-03-05,Riz,3,470,854
2024-03-05,Sorgho,3,278,854
2024-03-05,Igname,3,377,869
2024-03-05,Manioc,3,164,929
2024-03-05,Soja,3,404,718
2024-03-05,Coton,3,556,1004
2024-03-05,Cacao,3,1669,1003
2024-03-05,Café,3,1379,879
2024-03-06,Maïs,3,220,861
2024-03-06,Riz,3,433,834
2024-03-06,Sorgho,3,309,805
2024-03-06,Igname,3,343,888
2024-03-06,Manioc,3,175,824
2024-03-06,Soja,3,416,782
2024-03-06,Coton,3,551,978
2024-03-06,Cacao,3,1827,731
2024-03-06,Café,3,1437,961
2024-03-07,Maïs,3,230,845
2024-03-07,Riz,3,467,689
2024-03-07,Sorgho,3,290,882
2024-03-07,Igname,3,332,814
2024-03-07,Manioc,3,151,926
2024-03-07,Soja,3,392,752
2024-03-07,Coton,3,605,766
2024-03-07,Cacao,3,1835,808
2024-03-07,Café,3,1449,757
2024-03-08,Maïs,3,234,708
2024-03-08,Riz,3,460,873
2024-03-08,Sorgho,3,310,698
2024-03-08,Igname,3,356,985
2024-03-08,Manioc,3,171,958
2024-03-08,Soja,3,388,964
2024-03-08,Coton,3,538,929
2024-03-08,Cacao,3,1608,935
2024-03-08,Café,3,1468,789
2024-03-09,Maïs,3,226,991
2024-03-09,Riz,3,469,891
2024-03-09,Sorgho,3,293,965
2024-03-09,Igname,3,357,957
2024-03-09,Manioc,3,182,721
2024-03-09,Soja,3,432,739
2024-03-09,Coton,3,612,825
2024-03-09,Cacao,3,1699,807
2024-03-09,Café,3,1366,924
2024-03-10,Maïs,3,243,867
2024-03-10,Riz,3,478,872
2024-03-10,Sorgho,3,298,753
2024-03-10,Igname,3,363,823
2024-03-10,Manioc,3,188,854
2024-03-10,Soja,3,399,808
2024-03-10,Coton,3,555,905
2024-03-10,Cacao,3,1675,921
2024-03-10,Café,3,1382,657
2024-03-11,Maïs,3,237,736
2024-03-11,Riz,3,463,852
2024-03-11,Sorgho,3,270,986
2024-03-11,Igname,3,349,796
2024-03-11,Manioc,3,167,959
2024-03-11,Soja,3,435,821
2024-03-11,Coton,3,570,898
2024-03-11,Cacao,3,1722,863
2024-03-11,Café,3,1470,915
2024-03-12,Maïs,3,247,772
2024-03-12,Riz,3,458,854
2024-03-12,Sorgho,3,279,943
2024-03-12,Igname,3,348,875
2024-03-12,Manioc,3,168,1022
2024-03-12,Soja,3,368,982
2024-03-12,Coton,3,612,680
2024-03-12,Cacao,3,1746,779
2024-03-12,Café,3,1313,926
2024-03-13,Maïs,3,245,869
2024-03-13,Riz,3,454,737
2024-03-13,Sorgho,3,285,1008
2024-03-13,Igname,3,337,897
2024-03-13,Manioc,3,175,675
2024-03-13,Soja,3,394,914
2024-03-13,Coton,3,564,862
2024-03-13,Cacao,3,1722,954
2024-03-13,Café,3,1289,841
2024-03-14,Maïs,3,236,978
2024-03-14,Riz,3,467,1146
2024-03-14,Sorgho,3,266,997
2024-03-14,Igname,3,347,858
2024-03-14,Manioc,3,175,988
2024-03-14,Soja,3,410,947
2024-03-14,Coton,3,572,823
2024-03-14,Cacao,3,1837,955
2024-03-14,Café,3,1446,753
2024-03-15,Maïs,3,241,766
2024-03-15,Riz,3,444,916
2024-03-15,Sorgho,3,284,1015
2024-03-15,Igname,3,343,687
2024-03-15,Manioc,3,166,929
2024-03-15,Soja,3,393,1014
2024-03-15,Coton,3,583,890
2024-03-15,Cacao,3,1757,765
2024-03-15,Café,3,1255,968
2024-03-16,Maïs,3,220,625
2024-03-16,Riz,3,446,1071
2024-03-16,Sorgho,3,278,929
2024-03-16,Igname,3,337,697
2024-03-16,Manioc,3,146,954
2024-03-16,Soja,3,400,928
2024-03-16,Coton,3,539,940
2024-03-16,Cacao,3,1822,786
2024-03-16,Café,3,1414,633
2024-03-17,Maïs,3,239,864
2024-03-17,Riz,3,503,698
2024-03-17,Sorgho,3,292,764
2024-03-17,Igname,3,357,992
2024-03-17,Manioc,3,175,955
2024-03-17,Soja,3,391,869
2024-03-17,Coton,3,587,733
2024-03-17,Cacao,3,1776,716
2024-03-17,Café,3,1360,961
2024-03-18,Maïs,3,236,839
2024-03-18,Riz,3,461,983
2024-03-18,Sorgho,3,298,915
2024-03-18,Igname,3,369,902
2024-03-18,Manioc,3,169,819
2024-03-18,Soja,3,402,738
2024-03-18,Coton,3,616,742
2024-03-18,Cacao,3,1766,757
2024-03-18,Café,3,1414,836
2024-03-19,Maïs,3,182,1127
2024-03-19,Riz,3,489,841
2024-03-19,Sorgho,3,293,744
2024-03-19,Igname,3,353,853
2024-03-19,Manioc,3,184,682
2024-03-19,Soja,3,415,811
2024-03-19,Coton,3,598,921
2024-03-19,Cacao,3,1711,815
2024-03-19,Café,3,1376,1028
2024-03-20,Maïs,3,230,795
2024-03-20,Riz,3,458,876
2024-03-20,Sorgho,3,275,851
2024-03-20,Igname,3,347,799
2024-03-20,Manioc,3,184,686
2024-03-20,Soja,3,391,1050
2024-03-20,Coton,3,580,1013
2024-03-20,Cacao,3,1768,747
2024-03-20,Café,3,1393,963
2024-03-21,Maïs,3,234,776
2024-03-21,Riz,3,432,793
2024-03-21,Sorgho,3,313,793
2024-03-21,Igname,3,372,763
2024-03-21,Manioc,3,167,928
2024-03-21,Soja,3,409,902
2024-03-21,Coton,3,563,921
2024-03-21,Cacao,3,1866,780
2024-03-21,Café,3,1444,901
2024-03-22,Maïs,3,234,698
2024-03-22,Riz,3,500,667
2024-03-22,Sorgho,3,282,1107
2024-03-22,Igname,3,351,811
2024-03-22,Manioc,3,164,963
2024-03-22,Soja,3,395,888
2024-03-22,Coton,3,569,885
2024-03-22,Cacao,3,1823,832
2024-03-22,Café,3,1387,1001
2024-03-23,Maïs,3,226,972
2024-03-23,Riz,3,471,787
2024-03-23,Sorgho,3,291,716
2024-03-23,Igname,3,327,923
2024-03-23,Manioc,3,179,694
2024-03-23,Soja,3,396,951
2024-03-23,Coton,3,560,1104
2024-03-23,Cacao,3,1696,822
2024-03-23,Café,3,1482,809
2024-03-24,Maïs,3,223,794
2024-03-24,Riz,3,460,802
2024-03-24,Sorgho,3,305,844
2024-03-24,Igname,3,347,625
2024-03-24,Manioc,3,166,1039
2024-03-24,Soja,3,520,661
2024-03-24,Coton,3,596,838
2024-03-24,Cacao,3,1705,970
2024-03-24,Café,3,1333,811
2024-03-25,Maïs,3,238,814
2024-03-25,Riz,3,480,772
2024-03-25,Sorgho,3,295,774
2024-03-25,Igname,3,364,733
2024-03-25,Manioc,3,166,803
2024-03-25,Soja,3,400,876
2024-03-25,Coton,3,582,800
2024-03-25,Cacao,3,1749,968
2024-03-25,Café,3,1370,633
2024-03-26,Maïs,3,257,509
2024-03-26,Riz,3,471,789
2024-03-26,Sorgho,3,290,828
2024-03-26,Igname,3,342,905
2024-03-26,Manioc,3,175,913
2024-03-26,Soja,3,434,849
2024-03-26,Coton,3,602,877
2024-03-26,Cacao,3,1740,731
2024-03-26,Café,3,1415,856
2024-03-27,Maïs,3,251,845
2024-03-27,Riz,3,473,839
2024-03-27,Sorgho,3,282,947
2024-03-27,Igname,3,354,755
2024-03-27,Manioc,3,174,766
2024-03-27,Soja,3,379,815
2024-03-27,Coton,3,600,696
